,UserOwner,AlbumName,SongReleaseDate,ArtistName,SongIsExplicit,SongName,PlaylistName,artist,title,lyric,negative,neutral,positive,compound
49,markettes99,Abc,2019-08-30,Guitarricadelafuente,False,ABC,Wake up,Guitarricadelafuente,ABC,abc lyricsestrofa  he escucha'o mil historias las profecías sordas cuenta la leyenda que hay leyendas que no se pueden contar  estrofa  la vida loca voces gargantas rotas vamos a encender los vecindarios si te quieres arriesgar  estrofa  hay una estrofa una canción famosa cantan en otros abecedarios pero podemo' bailar bienvenida a casa el tiempo no descansa  preestribillo siento el susto en el cuerpo el vértigo dentro  estribillo hace falta valor no hace falta dinero nuevos tiempo' he soñado busco una nueva religión hace falta valor no hace falta dinero puente amanece y no me quiero despertar mi retina ofrece vistas de otro lugar  estribillo hace falta valor no hace falta dinero nuevos tiempo' he soñado hace falta valor no hace falta dinero  puente amanece y no me quiero despertar mi retina ofrece vistas de otro lugarembed,0.123,0.877,0.0,-0.9274
50,markettes99,The Beauty Between,2017-08-18,Kings Kaleidoscope,False,Sticks & Stones,Wake up,Kings Kaleidoscope,Sticks & Stones,sticks  stones lyrics did i pledge my allegiance for the purpose of progress to a priest or a prophet playing god in the process was i chasing convenience in a wave of disaster where the captains a captor and im a puppet to pastor  prehook a worthless war a curtain torn to take control of the ship a nail of shame a broken vein to write redemption a script a truthless gun a dying son to turn the tables we flipped turn the tables we flipped  hook paint the beauty we split paint the beauty we split paint the beauty we split paint the beauty we split nah nah nah nah  nadia ifland essenpreis they dont get it i dont get it were committed to sticks and stones what's a vision if it's driven to imprison i don't know they dont get it i dont get it were committed to sticks and stones undecided but i'm trying still divided so it goes  prehook a worthless war a curtain torn to take control of the ship a nail of shame a broken vein to write redemption a script a truthless gun a dying son to turn the tables we flipped turn the tables we flipped  hook paint the beauty we split paint the beauty we split paint the beauty we split paint the beauty we split turn the tables we flipped nah nah nah nah  paint the beauty we split take control of the ship paint the beauty we split write redemption a script paint the beauty we split turn the tables we flipped paint the beauty we split nah nah nah nah   show me a man and honest mission i'm willing to hope beyond suspicion show me the race i'll run the distance longing to give and taste forgiveness dying to live a pure religion settle the rush to chase a mission open my eyes and soul to listen listenembed,0.163,0.646,0.191,0.9768
51,markettes99,Zeal,2019-04-05,Kings Kaleidoscope,False,A Little Bit of Faith,Wake up,Kings Kaleidoscope,A Little Bit of Faith,a little bit of faith lyrics chad gardner you've been running you've been waiting you're up ahead then here again you're right on time on time you've been loving you've been praying so take a breath and don't forget you're by my side my side   chad gardner oh it's gonna be okay with a little bit of faith oh it's gonna be okay with a little bit of fate oh it's gonna be okay with a little bit of grace oh it's gonna be okay with a little bit of praise   chad gardner now you're living in the music now you're laughing with a new grin you're so alive alive uh now you're singing what the truth is now you're dancing looking foolish you've found the light the light uh   chad gardner oh it's gonna be okay with a little bit of faith oh it's gonna be okay with a little bit of fate oh it's gonna be okay with a little bit of grace oh it's gonna be okay with a little bit of praise oh it's gonna be okay with a little bit of faith oh it's gonna be okay with a little bit of fate oh it's gonna be okay with a little bit of grace oh it's gonna be okay with a little bit of praise  choir  chad gardner lalalala oh a little bit of faith lalalala yeah a little bit of grace lalalala c'mon a little bit of fate lalalala just a little bit of praiseembed,0.007,0.706,0.286,0.9965
52,markettes99,Zeal,2019-04-05,Kings Kaleidoscope,False,"Jumping from Jaded Heights (The Rush, Pt. 2)",Wake up,,,,,,,
53,markettes99,Hollywood's Bleeding,2019-09-06,Post Malone,False,Sunflower - Spider-Man: Into the Spider-Verse,Wake up,,,,,,,
54,markettes99,ASCEND,2019-08-16,ILLENIUM,False,In Your Arms (with X Ambassadors),Wake up,,,,,,,
55,markettes99,El Conticinio,2018-10-16,Guitarricadelafuente,False,El Conticinio,Wake up,,,,,,,
56,markettes99,Up 2 U,2018-07-27,Chec,False,Up 2 U,Wake up,,,,,,,
57,markettes99,Hollywood's Bleeding,2019-09-06,Post Malone,True,Goodbyes (feat. Young Thug),Wake up,,,,,,,
58,markettes99,Hollywood's Bleeding,2019-09-06,Post Malone,False,Circles,Wake up,,,,,,,
59,markettes99,Memories,2019-09-20,Maroon 5,False,Memories,Wake up,,,,,,,
60,markettes99,Soul Searching,2019-08-09,Bazzi,True,No Way!,Wake up,,,,,,,
61,markettes99,Discovery,2001-03-12,Daft Punk,False,Digital Love,Wake up,,,,,,,
62,markettes99,Pop,1997-03-03,U2,False,Wake Up Dead Man,Wake up,,,,,,,
63,markettes99,Sun Is Shining,2019-08-09,Lost Frequencies,False,Sun Is Shining,Wake up,,,,,,,
64,markettes99,Dancin (feat. Luvli) [Krono Remix],2014-11-07,Aaron Smith,False,Dancin (feat. Luvli) - Krono Remix,Wake up,,,,,,,
65,markettes99,Sixtinain,2018-12-07,Guitarricadelafuente,False,Sixtinain,Wake up,,,,,,,
66,markettes99,Used To Love (with Dean Lewis),2019-10-31,Martin Garrix,False,Used To Love (with Dean Lewis),Wake up,,,,,,,
67,markettes99,Black & Blue (The Remixes),2019-12-06,Lost Frequencies,False,Black & Blue,Wake up,,,,,,,
68,markettes99,Nacido pa ganar,2019-02-06,Guitarricadelafuente,False,Nacido pa ganar,Wake up,,,,,,,
69,markettes99,Alive And Feeling Fine,2019-10-04,Lost Frequencies,False,Like I Love You,Wake up,,,,,,,
70,markettes99,death bed (coffee for your head),2020-02-08,Powfu,False,death bed (coffee for your head),Wake up,,,,,,,
71,markettes99,Hotel Diablo,2019-07-05,Machine Gun Kelly,True,Candy (feat. Trippie Redd),Wake up,,,,,,,
72,markettes99,Some Say,2019-09-06,Nea,False,Some Say,Wake up,,,,,,,
73,markettes99,A Beautiful Mind (Soundtrack),2001-01-01,James Horner,False,All Love Can Be - A Beautiful Mind/Soundtrack Version,Bandas sonoras,,,,,,,
74,markettes99,Level 4,2015-02-18,Video Games Live,False,Uncharted 2 (Live),Bandas sonoras,,,,,,,
