UserOwner,AlbumName,SongReleaseDate,ArtistName,SongIsExplicit,SongId,SongName,PlaylistName
garciavicval,SAVAGE MODE II,2020-10-02,21 Savage,True,42Tohunwlh34o0mgxYx5iq,My Dawg,Gang shit
garciavicval,SAVAGE MODE II,2020-10-02,21 Savage,True,5SWnsxjhdcEDc7LJjq9UHk,Runnin,Gang shit
garciavicval,SAVAGE MODE II,2020-10-02,21 Savage,True,1wGnp7ejkCuXRsehXx0PNP,RIP Luv,Gang shit
garciavicval,SAVAGE MODE II,2020-10-02,21 Savage,True,4V9ynsDPwHtdItksqjuRu0,Brand New Draco,Gang shit
garciavicval,SAVAGE MODE II,2020-10-02,21 Savage,True,3WaDoMDQRqDdgtCDLxanpN,Snitches & Rats (feat. Young Nudy),Gang shit
garciavicval,Issa Album,2017-09-23,21 Savage,True,1vc2YF7ZvUtwr45HNpdGch,Numb,Gang shit
garciavicval,IMMIGRANT,2018-10-12,Belly,True,10Tjys9wtaB6UPKTpC3cny,Maintain,Gang shit
garciavicval,Issa Album,2017-09-23,21 Savage,True,2aNdXtCtyoB2KrUh7pJYxO,Whole Lot,Gang shit
garciavicval,Savage Mode,2016-07-15,21 Savage,True,1UyLFPOIG7E1OfamPQLOfD,Ocean Drive,Gang shit
garciavicval,Quality Control: Control The Streets Volume 1,2017-12-08,Quality Control,True,3hWUIMNBwLNug1O8o2PPRW,Too Hotty,Gang shit
garciavicval,Quality Control: Control The Streets Volume 1,2017-12-08,Quality Control,True,3wdfLVUhmX64lIyWIIEW8s,Ice Tray,Gang shit
garciavicval,CLAIRVOYANCE,2020-07-21,Thouxanbanfauni,True,2CxjDTsUBmVlcMjjy2UETJ,ULTRA VIOLET,Gang shit
garciavicval,Moonlight922,2020-01-10,Cruz Cafuné,True,09Ae1id448lmrfETbExaRc,Mina el Hammani,Trup
garciavicval,Pa'l Coche,2017-02-09,Cruz Cafuné,True,3sdbjDa8Rvmfn8k7pz7znc,Mi Casa,Trup
garciavicval,Lila & Snitch,2021-12-03,Cruz Cafuné,True,6T3V7tEV5OFGUt5iF4y7W7,Lila & Snitch,Trup
garciavicval,El Juguete de Tu Muñeca,2021-04-21,Kaydy Cain,False,3eFP7ZBQ1j6jPVFL8rFLYn,Hollywood,Trup
garciavicval,Tranquilísimo,2021-07-22,Israel B,False,3znlxKwQTRVrrerCcZPus2,Tranquilísimo,Trup
garciavicval,La Ley de Eddie Murphy,2015-12-13,Kinder Malo,False,5G4Pm0YyXWhAby1bDRMA6y,La Ley de Eddie Murphy,Trup
garciavicval,Ebay,2021-10-28,Ergo Pro,True,41fCnUmDhJfHRn4zxXDC61,Ebay,Trup
garciavicval,Moonlight922,2020-01-10,Cruz Cafuné,True,4kG8goLAmzxek9x8Yqafv2,Slow Mo,Trup
garciavicval,Moonlight922,2020-01-10,Cruz Cafuné,True,6hk2AhbfCm2aQvfnS5avUm,Mi Isla / 10k,Trup
garciavicval,Moonlight922,2020-01-10,Cruz Cafuné,False,78jDZMtebvn4FgOd8NgZRO,Tentaciones,Trup
garciavicval,Maracucho Bueno Muere Chiquito,2018-03-16,Cruz Cafuné,True,6PYYsCk0CDUUs58QPx7E72,Todos Esos Golfos,Trup
garciavicval,Qubits,2022-02-11,Erik Urano,False,4jQB2HYt0qE54jwDf8l3e1,I+D,Trup
garciavicval,VISIÓN TÚNEL,2020-11-13,Cruz Cafuné,True,4QnbEGzQp7SRrP0sPRSt3Z,VISIÓN TÚNEL,Trup
garciavicval,Port Of Miami,2006-01-01,Rick Ross,True,3UaqMekEh1kbVu2A6DwiQs,Hustlin',Music 2020
garciavicval,DAMN.,2017-04-14,Kendrick Lamar,True,7ujx3NYtwO2LkmKGz59mXp,HUMBLE.,Music 2020
garciavicval,"King's Dead (with Kendrick Lamar, Future & James Blake)",2018-01-12,Jay Rock,True,08qFPu7ksp9KrQJJPuFXxu,"King's Dead (with Kendrick Lamar, Future & James Blake)",Music 2020
garciavicval,DAMN.,2017-04-14,Kendrick Lamar,True,6rZssCJPEdQnyeEdNLKsr8,ELEMENT.,Music 2020
garciavicval,Mask Off (feat. Kendrick Lamar) [Remix],2017-05-23,Future,True,6DB2KOEwHnjkgEnBt5SdeJ,Mask Off (feat. Kendrick Lamar) - Remix,Music 2020
garciavicval,Hot N*gga,2014-07-25,Bobby Shmurda,True,19gEmPjfqSZT0ulDRfjl0m,Hot N*gga,Music 2020
garciavicval,Collection One,2018-03-30,SAINt JHN,True,0easEmosKkPhksg0qidzXo,Roses,Music 2020
garciavicval,Collection One,2018-03-30,SAINt JHN,True,14FwKi5Lh5HRXeo6VNXlaN,Reflex,Music 2020
garciavicval,Collection One,2018-03-30,SAINt JHN,True,1yKj60nSSQGVuZMhj0huDa,N***a Sh*t (Swoosh),Music 2020
garciavicval,"The Music of Grand Theft Auto V, Vol. 1: Original Music",2013-09-24,A$AP Rocky,True,2oMOqX9k4k16odibNkYyrD,r - Cali,Music 2020
garciavicval,SremmLife,2015-01-06,Rae Sremmurd,True,6wb6zxkNTBtcYVkXcvNyJp,No Type,Music 2020
garciavicval,My Krazy Life (Deluxe),2014-01-01,YG,True,0n2m8ZiQt4Aqcu6IAfPc96,Who Do You Love?,Music 2020
garciavicval,The Off-Season,2021-05-14,J. Cole,False,3cLc5HfEVkD78OA8Z6IEet,a m a r i,Music 2020
garciavicval,Culture II,2018-01-26,Migos,True,1jr1BnpXymcf2i97mTR8tJ,Walk It Talk It,Music 2020
garciavicval,No Sleep,2014-01-14,DJ ESCO,True,44lUcHz7LXhvdlwLy8WsBg,How It Was (feat. Future),Music 2020
garciavicval,I Decided.,2017-02-03,Big Sean,True,358uP4VwX0XYKji2IW19zi,Moves,Music 2020
garciavicval,Rolex,2017-03-15,Ayo & Teo,False,0pSBuHjILhNEo55xK1zrRt,Rolex,Music 2020
garciavicval,Quality Control: Control The Streets Volume 1,2017-12-08,Quality Control,True,3wdfLVUhmX64lIyWIIEW8s,Ice Tray,Music 2020
garciavicval,SR3MM,2018-05-04,Rae Sremmurd,True,1BuZAIO8WZpavWVbbq3Lci,Powerglide (feat. Juicy J) - From SR3MM,Music 2020
garciavicval,TGOD Mafia: Rude Awakening,2016-06-03,Juicy J,True,4oSqzicbfGc72HishrRcSk,Bossed Up,Music 2020
garciavicval,No Guidance (feat. Drake),2019-06-08,Chris Brown,True,7FEwp8BavoEVE3AnxJDchc,No Guidance (feat. Drake),Music 2020
garciavicval,ASTROWORLD,2018-08-03,Travis Scott,True,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Music 2020
garciavicval,Culture II,2018-01-26,Migos,True,7yt6eiZQCkVFEzwGp4Pbor,Supastars,Music 2020
garciavicval,Without Warning,2017-10-30,Offset,True,7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),Music 2020
garciavicval,QUAVO HUNCHO,2018-10-12,Quavo,True,3edzl4zvKFi0D3iuF6cs2f,PASS OUT (feat. 21 Savage),Music 2020
garciavicval,Heaven Or Hell,2020-03-13,Don Toliver,True,527k23H0A4Q0UJN3vGs0Da,After Party,Music 2020
garciavicval,SAVAGE MODE II,2020-10-02,21 Savage,True,2y3mrzWEWaAFqb2jf5fED8,Snitches & Rats (Interlude),Music 2020
garciavicval,SAVAGE MODE II,2020-10-02,21 Savage,True,3WaDoMDQRqDdgtCDLxanpN,Snitches & Rats (feat. Young Nudy),Music 2020
garciavicval,SAVAGE MODE II,2020-10-02,21 Savage,True,42Tohunwlh34o0mgxYx5iq,My Dawg,Music 2020
garciavicval,SAVAGE MODE II,2020-10-02,21 Savage,True,50I7FNN2rl2rWiNwGxS146,No Opp Left Behind,Music 2020
garciavicval,SAVAGE MODE II,2020-10-02,21 Savage,True,1wGnp7ejkCuXRsehXx0PNP,RIP Luv,Music 2020
garciavicval,Without Warning,2017-10-30,21 Savage,True,0tdCy39PgWN8LFWu34ORn3,Rap Saved Me (feat. Quavo),Music 2020
garciavicval,SAVAGE MODE II,2020-10-02,21 Savage,True,5SWnsxjhdcEDc7LJjq9UHk,Runnin,Music 2020
